5.9158,4.6793,-10.5951,551.2022,364.0603,-915.2625
5.6376,4.9745,-10.6122,527.8631,390.3337,-918.1981
5.3542,5.2645,-10.6188,504.1613,416.0593,-920.2235
5.0633,5.5515,-10.6150,480.0164,441.3165,-921.3339
4.7645,5.8360,-10.6007,455.1392,466.3999,-921.5303
4.4619,6.1138,-10.5760,429.4573,491.3868,-920.8194
4.1585,6.3820,-10.5408,403.3122,515.9341,-919.2092
3.8518,6.6430,-10.4951,377.0417,539.6994,-916.7042
3.5387,6.9000,-10.4391,350.5928,562.7328,-913.3067
3.2202,7.1522,-10.3728,323.7287,585.2733,-909.0178
2.8988,7.3972,-10.2963,296.3731,607.4066,-903.8382
2.5752,7.6343,-10.2097,268.6150,629.0562,-897.7691
2.2506,7.8624,-10.1131,240.6169,650.0687,-890.8135
1.9254,8.0810,-10.0065,212.5787,670.2504,-882.9729
1.5978,8.2922,-9.8900,184.5455,689.5645,-874.2465
1.2656,8.4982,-9.7637,156.2688,708.2713,-864.6392
0.9314,8.6966,-9.6279,127.5114,726.6177,-854.1662
0.5991,8.8836,-9.4826,98.4198,744.4621,-842.8491
0.2685,9.0596,-9.3280,69.3451,761.4566,-830.7087
-0.0634,9.2275,-9.1641,40.4113,777.4834,-817.7616
-0.3971,9.3881,-8.9911,11.4895,792.6819,-804.0218
-0.7311,9.5402,-8.8093,-17.5408,807.1843,-789.5038
-1.0646,9.6831,-8.6187,-46.6893,821.0145,-774.2235
-1.3962,9.8157,-8.4198,-75.8519,834.0897,-758.1946
-1.7244,9.9366,-8.2124,-104.7905,846.1952,-741.4251
-2.0503,10.0471,-7.9970,-133.3103,857.1559,-723.9190
-2.3766,10.1501,-7.7736,-161.5260,867.1037,-705.6818
-2.7026,10.2451,-7.5425,-189.7311,876.3493,-686.7260
-3.0245,10.3285,-7.3040,-217.9780,884.9609,-667.0715
-3.3410,10.3993,-7.0582,-246.0186,892.7056,-646.7414
-3.6537,10.4594,-6.8055,-273.6527,899.3994,-625.7588
-3.9641,10.5103,-6.5460,-300.9064,905.0857,-604.1470
-4.2718,10.5519,-6.2799,-327.9009,909.9017,-581.9319
-4.5762,10.5840,-6.0076,-354.7355,913.9660,-559.1420
-4.8762,10.6058,-5.7294,-381.4230,917.3176,-535.8060
-5.1697,10.6154,-5.4456,-407.7842,919.8100,-511.9491
