0000000001,0000000000,061936,036907,080759,088951,089463,074058
0000000002,0000001000,036469,061236,080872,085936,092180,074356
0000000003,0000002000,007929,079814,081869,082637,094175,075660
0000000004,0000003000,-20576,090485,083652,079381,095246,077845
0000000005,0000004000,-46312,092221,086053,076479,095294,080699
0000000006,0000005000,-67056,085178,088830,074215,094319,083938
0000000007,0000006000,-80553,069923,091706,072819,092408,087245
0000000008,0000007000,-85355,047663,094412,072425,089746,090301
0000000009,0000008000,-81211,020815,096682,073066,086602,092804
0000000010,0000009000,-68550,-07848,098283,074682,083282,094508
0000000011,0000010000,-48376,-35822,099063,077119,080107,095246
0000000012,0000011000,-22749,-60315,098950,080134,077390,094948
0000000013,0000012000,005558,-78669,097954,083430,075399,093644
0000000014,0000013000,034024,-89300,096171,086690,074323,091459
0000000015,0000014000,060015,-91288,093770,089594,074273,088605
0000000016,0000015000,080675,-84167,090993,091853,075254,085366
0000000017,0000016000,094035,-68759,088116,093249,077164,082059
0000000018,0000017000,098983,-46647,085410,093646,079823,079004
0000000019,0000018000,094824,-19796,083141,093002,082970,076500
0000000020,0000019000,082013,009019,081540,091387,086289,074797
0000000021,0000020000,061974,036867,080760,088953,089461,074058
0000000022,0000021000,036450,061257,080872,085935,092181,074356
0000000023,0000022000,007961,079793,081869,082636,094175,075660
0000000024,0000023000,-20516,090441,083651,079381,095246,077846
0000000025,0000024000,-46359,092271,086053,076477,095296,080699
0000000026,0000025000,-67114,085243,088831,074215,094319,083939
0000000027,0000026000,-80526,069894,091707,072821,092406,087245
0000000028,0000027000,-85308,047622,094412,072425,089747,090300
0000000029,0000028000,-81216,020830,096682,073064,086604,092804
0000000030,0000029000,-68555,-07836,098283,074682,083283,094508
0000000031,0000030000,-48372,-35823,099063,077118,080108,095246
0000000032,0000031000,-22792,-60279,098951,080133,077391,094948
0000000033,0000032000,005552,-78664,097955,083431,075397,093644
0000000034,0000033000,034086,-89362,096171,086690,074323,091459
0000000035,0000034000,060021,-91289,093770,089591,074275,088606
0000000036,0000035000,080631,-84125,090993,091852,075254,085366
0000000037,0000036000,094037,-68763,088116,093249,077163,082060
0000000038,0000037000,098984,-46656,085411,093645,079823,079004
0000000039,0000038000,094815,-19792,083141,093002,082969,076501
0000000040,0000039000,082047,008990,081539,091387,086288,074797
0000000041,0000040000,061993,036848,080759,088952,089462,074059
0000000042,0000041000,036415,061293,080872,085934,092182,074356
0000000043,0000042000,007940,079811,081868,082638,094174,075661
0000000044,0000043000,-20489,090413,083651,079381,095246,077846
0000000045,0000044000,-46351,092262,086052,076476,095297,080699
0000000046,0000045000,-67118,085253,088830,074215,094319,083938
0000000047,0000046000,-80513,069885,091706,072821,092407,087245
0000000048,0000047000,-85327,047638,094412,072424,089748,090300
0000000049,0000048000,-81250,020862,096682,073065,086603,092804
0000000050,0000049000,-68536,-07858,098283,074682,083283,094507
0000000051,0000050000,-48350,-35846,099063,077117,080109,095246
0000000052,0000051000,-22816,-60257,098951,080132,077392,094948
0000000053,0000052000,005543,-78656,097955,083431,075398,093644
0000000054,0000053000,034088,-89372,096171,086689,074324,091459
0000000055,0000054000,060000,-91276,093771,089591,074276,088606
0000000056,0000055000,080635,-84133,090993,091852,075254,085367
0000000057,0000056000,094071,-68798,088116,093248,077164,082060
0000000058,0000057000,098979,-46651,085411,093644,079824,079005
0000000059,0000058000,094792,-19769,083141,093002,082969,076502
0000000060,0000059000,082064,008975,081540,091387,086288,074798
0000000061,0000060000,062008,036833,080759,088951,089461,074059
0000000062,0000061000,036411,061304,080872,085935,092181,074357
0000000063,0000062000,007962,079798,081867,082638,094173,075661
