0000000001,0000000000,089436,079660,073222,019572,036253,083794
0000000002,0000001000,087302,082377,072637,029325,026975,083320
0000000003,0000002000,084661,084708,072949,040164,019978,079479
0000000004,0000003000,081805,086387,074125,051044,015934,072642
0000000005,0000004000,079012,087248,076059,060886,015259,063474
0000000006,0000005000,076524,087240,078555,068735,018012,052875
0000000007,0000006000,074603,086354,081362,073821,023906,041893
0000000008,0000007000,073458,084646,084214,075644,032382,031596
0000000009,0000008000,073173,082307,086836,074020,042622,022979
0000000010,0000009000,073770,079585,088962,069122,053597,016901
0000000011,0000010000,075218,076715,090384,061428,064231,013961
0000000012,0000011000,077371,073977,090969,051669,073516,014433
0000000013,0000012000,079993,071668,090658,040821,080524,018276
0000000014,0000013000,082844,069993,089481,029955,084553,025112
0000000015,0000014000,085659,069111,087549,020112,085229,034280
0000000016,0000015000,088138,069128,085052,012253,082489,044880
0000000017,0000016000,090045,070028,082244,007174,076585,055861
0000000018,0000017000,091207,071718,079393,005355,068106,066159
0000000019,0000018000,091492,074055,076770,006971,057874,074775
0000000020,0000019000,090880,076794,074644,011870,046898,080852
0000000021,0000020000,089442,079654,073222,019572,036255,083794
0000000022,0000021000,087296,082384,072638,029322,026978,083320
0000000023,0000022000,084659,084709,072949,040172,019970,079478
0000000024,0000023000,081813,086379,074125,051043,015935,072642
0000000025,0000024000,079010,087250,076058,060884,015262,063474
0000000026,0000025000,076517,087246,078555,068738,018008,052874
0000000027,0000026000,074609,086348,081362,073826,023901,041893
0000000028,0000027000,073461,084643,084214,075641,032385,031595
0000000029,0000028000,073166,082315,086837,074021,042621,022979
0000000030,0000029000,073771,079584,088962,069129,053590,016901
0000000031,0000030000,075224,076709,090385,061429,064232,013960
0000000032,0000031000,077367,073982,090969,051668,073518,014433
0000000033,0000032000,079990,071670,090658,040826,080519,018275
0000000034,0000033000,082850,069987,089481,029959,084550,025111
0000000035,0000034000,085658,069111,087549,020110,085232,034279
0000000036,0000035000,088133,069132,085052,012257,082486,044878
0000000037,0000036000,090049,070024,082245,007178,076583,055860
0000000038,0000037000,091209,071716,079393,005356,068107,066157
0000000039,0000038000,091489,074059,076770,006972,057875,074773
0000000040,0000039000,090881,076793,074644,011874,046895,080851
0000000041,0000040000,089445,079651,073222,019572,036256,083793
0000000042,0000041000,087294,082386,072637,029323,026979,083319
0000000043,0000042000,084659,084710,072949,040173,019970,079477
0000000044,0000043000,081815,086377,074125,051044,015934,072642
0000000045,0000044000,079008,087252,076058,060883,015263,063474
0000000046,0000045000,076516,087247,078554,068739,018006,052875
0000000047,0000046000,074611,086346,081361,073825,023901,041894
0000000048,0000047000,073459,084645,084214,075641,032384,031596
0000000049,0000048000,073164,082317,086836,074022,042618,022980
0000000050,0000049000,073774,079582,088962,069129,053588,016903
0000000051,0000050000,075223,076709,090385,061428,064231,013961
0000000052,0000051000,077364,073984,090970,051672,073514,014434
0000000053,0000052000,079993,071668,090658,040829,080516,018275
0000000054,0000053000,082850,069986,089481,029960,084550,025111
0000000055,0000054000,085654,069114,087549,020114,085229,034278
0000000056,0000055000,088135,069130,085052,012262,082482,044877
0000000057,0000056000,090052,070021,082245,007179,076584,055857
0000000058,0000057000,091206,071719,079393,005358,068108,066155
0000000059,0000058000,091489,074059,076770,006976,057873,074770
0000000060,0000059000,090886,076789,074644,011875,046897,080848
0000000061,0000060000,089443,079653,073222,019570,036260,083790
0000000062,0000061000,087292,082389,072637,029325,026979,083317
0000000063,0000062000,084664,084706,072948,040173,019971,079476
0000000064,0000063000,081816,086377,074125,051040,015939,072641
0000000065,0000064000,079004,087256,076057,060881,015264,063474
0000000066,0000065000,076518,087246,078554,068739,018005,052876
0000000067,0000066000,074613,086343,081361,073822,023902,041896
0000000068,0000067000,073455,084649,084214,075638,032384,031599
0000000069,0000068000,073164,082318,086836,074024,042614,022983
0000000070,0000069000,073776,079579,088962,069129,053586,016906
0000000071,0000070000,075221,076712,090385,061428,064229,013964
0000000072,0000071000,077361,073987,090970,051676,073508,014436
0000000073,0000072000,079995,071665,090658,040833,080511,018277
0000000074,0000073000,082850,069986,089482,029962,084548,025111
0000000075,0000074000,085651,069117,087550,020119,085225,034276
0000000076,0000075000,088137,069128,085053,012268,082479,044874
