0000000001,0000000000,078208,020756,080040,025436,035108,083848
0000000002,0000001000,056859,047941,079456,035190,025826,083377
0000000003,0000002000,030487,071211,079767,046027,018828,079537
0000000004,0000003000,001913,088011,080943,056901,014788,072704
0000000005,0000004000,-26070,096672,082877,066749,014105,063537
0000000006,0000005000,-50960,096579,085374,074601,016854,052938
0000000007,0000006000,-70113,087667,088181,079691,022745,041956
0000000008,0000007000,-81548,070583,091032,081514,031221,031658
0000000009,0000008000,-84436,047241,093655,079888,041464,023040
0000000010,0000009000,-78479,020024,095781,074997,052434,016961
0000000011,0000010000,-63977,-08702,097203,067308,063067,014017
0000000012,0000011000,-42434,-36085,097788,057547,072357,014487
0000000013,0000012000,-16214,-59190,097476,046700,079365,018327
0000000014,0000013000,012293,-75922,096299,035834,083398,025161
0000000015,0000014000,040433,-84743,094366,025986,084079,034328
0000000016,0000015000,065214,-84560,091870,018130,081336,044926
0000000017,0000016000,084291,-75560,089063,013049,075436,055907
0000000018,0000017000,095942,-58685,086210,011227,066959,066205
0000000019,0000018000,098793,-35309,083588,012838,056731,074824
0000000020,0000019000,092624,-07881,081462,017734,045755,080903
0000000021,0000020000,078243,020723,080040,025436,035108,083847
0000000022,0000021000,056824,047976,079456,035188,025829,083376
0000000023,0000022000,030450,071241,079767,046032,018824,079536
0000000024,0000023000,001955,087973,080943,056905,014784,072703
0000000025,0000024000,-26059,096658,082876,066747,014107,063537
0000000026,0000025000,-50983,096611,085374,074602,016852,052938
0000000027,0000026000,-70100,087655,088181,079693,022742,041956
0000000028,0000027000,-81547,070583,091033,081513,031221,031658
0000000029,0000028000,-84465,047269,093655,079892,041461,023040
0000000030,0000029000,-78459,020008,095781,075001,052431,016960
0000000031,0000030000,-63945,-08728,097204,067307,063069,014016
0000000032,0000031000,-42467,-36051,097789,057549,072356,014487
0000000033,0000032000,-16234,-59166,097477,046704,079362,018326
0000000034,0000033000,012327,-75958,096299,035837,083396,025160
0000000035,0000034000,040434,-84741,094367,025988,084078,034326
0000000036,0000035000,065198,-84540,091870,018132,081336,044925
0000000037,0000036000,084315,-75578,089063,013051,075435,055906
0000000038,0000037000,095938,-58681,086211,011229,066959,066204
0000000039,0000038000,098768,-35283,083588,012840,056730,074822
0000000040,0000039000,092653,-07903,081462,017737,045753,080902
0000000041,0000040000,078270,020698,080039,025436,035110,083846
0000000042,0000041000,056797,048009,079456,035186,025831,083375
0000000043,0000042000,030442,071251,079767,046034,018822,079536
0000000044,0000043000,001984,087949,080943,056906,014783,072703
0000000045,0000044000,-26067,096669,082876,066746,014109,063537
0000000046,0000045000,-50990,096624,085373,074603,016851,052938
0000000047,0000046000,-70075,087637,088180,079693,022742,041957
0000000048,0000047000,-81560,070595,091033,081512,031222,031659
0000000049,0000048000,-84492,047299,093656,079894,041458,023041
0000000050,0000049000,-78439,019987,095781,075003,052427,016961
0000000051,0000050000,-63930,-08743,097204,067306,063068,014017
0000000052,0000051000,-42498,-36024,097789,057550,072354,014488
0000000053,0000052000,-16237,-59165,097477,046708,079358,018326
0000000054,0000053000,012342,-75978,096300,035839,083393,025159
0000000055,0000054000,040415,-84728,094367,025991,084076,034325
0000000056,0000055000,065196,-84540,091870,018136,081333,044923
0000000057,0000056000,084340,-75607,089063,013053,075435,055904
0000000058,0000057000,095926,-58672,086211,011230,066960,066202
0000000059,0000058000,098749,-35267,083588,012843,056729,074819
0000000060,0000059000,092680,-07930,081462,017740,045753,080899
0000000061,0000060000,078283,020686,080039,025435,035114,083844
0000000062,0000061000,056780,048030,079455,035186,025833,083373
0000000063,0000062000,030454,071244,079766,046034,018823,079535
0000000064,0000063000,001998,087937,080943,056903,014786,072702
0000000065,0000064000,-26085,096691,082876,066744,014111,063537
