0000000001,0000000000,088531,078015,070970,019811,036020,083714
0000000002,0000001000,086397,080732,070385,029564,026742,083240
0000000003,0000002000,083757,083063,070697,040402,019746,079398
0000000004,0000003000,080900,084742,071873,051283,015701,072562
0000000005,0000004000,078107,085604,073807,061123,015028,063394
0000000006,0000005000,075619,085595,076303,068975,017778,052793
0000000007,0000006000,073698,084709,079110,074056,023676,041813
0000000008,0000007000,072554,083001,081962,075883,032148,031515
0000000009,0000008000,072268,080663,084584,074256,042392,022898
0000000010,0000009000,072866,077940,086710,069361,053364,016821
0000000011,0000010000,074313,075070,088132,061664,064001,013881
0000000012,0000011000,076468,072332,088717,051907,073284,014354
0000000013,0000012000,079088,070024,088406,041057,080292,018196
0000000014,0000013000,081941,068347,087228,030192,084321,025033
0000000015,0000014000,084753,067467,085297,020348,084996,034201
0000000016,0000015000,087234,067483,082799,012490,082256,044800
0000000017,0000016000,089141,068384,079992,007412,076352,055781
0000000018,0000017000,090303,070073,077140,005592,067873,066080
0000000019,0000018000,090587,072411,074518,007210,057640,074695
0000000020,0000019000,089976,075150,072392,012108,046665,080773
0000000021,0000020000,088538,078009,070969,019811,036021,083714
0000000022,0000021000,086391,080740,070385,029560,026746,083240
0000000023,0000022000,083754,083065,070697,040411,019737,079397
0000000024,0000023000,080908,084734,071873,051282,015702,072561
0000000025,0000024000,078105,085606,073806,061122,015030,063394
0000000026,0000025000,075612,085602,076303,068976,017776,052794
0000000027,0000026000,073704,084703,079110,074064,023669,041812
0000000028,0000027000,072557,082998,081962,075879,032153,031515
0000000029,0000028000,072261,080670,084585,074258,042389,022898
0000000030,0000029000,072866,077940,086710,069366,053359,016821
0000000031,0000030000,074320,075064,088132,061666,063999,013880
0000000032,0000031000,076463,072337,088717,051905,073286,014353
0000000033,0000032000,079085,070026,088406,041063,080287,018196
0000000034,0000033000,081945,068342,087229,030196,084318,025031
0000000035,0000034000,084754,067466,085297,020348,084999,034200
0000000036,0000035000,087229,067488,082799,012493,082254,044799
0000000037,0000036000,089144,068380,079992,007416,076349,055780
0000000038,0000037000,090305,070071,077140,005593,067874,066078
0000000039,0000038000,090585,072414,074518,007210,057641,074694
0000000040,0000039000,089976,075149,072392,012111,046663,080771
0000000041,0000040000,088540,078007,070970,019811,036023,083713
0000000042,0000041000,086389,080742,070385,029561,026746,083239
0000000043,0000042000,083755,083065,070696,040412,019737,079397
0000000044,0000043000,080910,084733,071873,051282,015702,072561
0000000045,0000044000,078103,085607,073806,061121,015030,063393
0000000046,0000045000,075612,085602,076302,068977,017774,052794
0000000047,0000046000,073706,084701,079110,074063,023669,041813
0000000048,0000047000,072554,083000,081962,075878,032152,031516
0000000049,0000048000,072260,080672,084584,074260,042386,022899
0000000050,0000049000,072869,077937,086710,069367,053357,016822
0000000051,0000050000,074319,075065,088133,061665,063999,013881
0000000052,0000051000,076459,072340,088718,051909,073282,014354
0000000053,0000052000,079089,070022,088405,041066,080284,018196
0000000054,0000053000,081946,068341,087229,030196,084318,025031
0000000055,0000054000,084749,067470,085297,020351,084997,034198
0000000056,0000055000,087231,067486,082800,012499,082249,044797
0000000057,0000056000,089147,068376,079993,007417,076351,055778
0000000058,0000057000,090301,070075,077141,005595,067875,066075
0000000059,0000058000,090584,072415,074518,007215,057640,074691
0000000060,0000059000,089981,075144,072391,012113,046664,080769
0000000061,0000060000,088539,078008,070969,019808,036027,083710
0000000062,0000061000,086386,080745,070385,029563,026746,083237
0000000063,0000062000,083759,083061,070696,040412,019738,079395
0000000064,0000063000,080912,084732,071873,051278,015706,072561
0000000065,0000064000,078099,085612,073805,061119,015032,063394
0000000066,0000065000,075614,085601,076302,068977,017772,052795
