0000000001,0000000000,078209,017902,081189,020540,035395,083690
0000000002,0000001000,056861,045088,080605,030295,026111,083220
0000000003,0000002000,030493,068347,080916,041132,019114,079380
0000000004,0000003000,001916,085161,082092,052004,015075,072547
0000000005,0000004000,-26070,093824,084026,061852,014391,063381
0000000006,0000005000,-50953,093721,086523,069706,017138,052782
0000000007,0000006000,-70121,084829,089330,074795,023031,041800
0000000008,0000007000,-81553,067734,092181,076620,031505,031502
0000000009,0000008000,-84415,044374,094804,074996,041746,022883
0000000010,0000009000,-78466,017164,096931,070099,052723,016804
0000000011,0000010000,-63976,-11551,098352,062411,063354,013860
0000000012,0000011000,-42453,-38913,098938,052656,072638,014330
0000000013,0000012000,-16223,-62035,098626,041805,079651,018169
0000000014,0000013000,012318,-78799,097448,030941,083681,025002
0000000015,0000014000,040448,-87604,095515,021094,084363,034169
0000000016,0000015000,065219,-87410,093019,013230,081627,044768
0000000017,0000016000,084280,-78399,090212,008154,075723,055749
0000000018,0000017000,095923,-61519,087360,006336,067241,066048
0000000019,0000018000,098804,-38173,084737,007943,057017,074665
0000000020,0000019000,092648,-10755,082611,012839,046041,080745
0000000021,0000020000,078256,017863,081188,020540,035396,083690
0000000022,0000021000,056814,045136,080604,030288,026118,083219
0000000023,0000022000,030427,068410,080916,041136,019109,079380
0000000024,0000023000,001952,085120,082092,052012,015066,072546
0000000025,0000024000,-26038,093783,084025,061852,014393,063380
0000000026,0000025000,-50964,093741,086522,069704,017139,052781
0000000027,0000026000,-70106,084811,089329,074796,023029,041800
0000000028,0000027000,-81571,067752,092182,076617,031506,031502
0000000029,0000028000,-84472,044418,094805,074999,041743,022883
0000000030,0000029000,-78447,017140,096931,070109,052713,016803
0000000031,0000030000,-63930,-11597,098352,062412,063354,013859
0000000032,0000031000,-42461,-38910,098937,052652,072643,014330
0000000033,0000032000,-16250,-62008,098626,041809,079647,018169
0000000034,0000033000,012309,-78797,097449,030944,083680,025002
0000000035,0000034000,040439,-87603,095516,021096,084362,034168
0000000036,0000035000,065217,-87414,093019,013238,081622,044766
0000000037,0000036000,084323,-78439,090211,008155,075723,055747
0000000038,0000037000,095928,-61525,087359,006332,067247,066046
0000000039,0000038000,098755,-38127,084737,007945,057016,074664
0000000040,0000039000,092650,-10759,082611,012843,046038,080744
0000000041,0000040000,078281,017833,081188,020541,035397,083688
0000000042,0000041000,056810,045144,080604,030289,026118,083218
0000000043,0000042000,030441,068401,080915,041137,019109,079379
0000000044,0000043000,001968,085109,082092,052009,015070,072546
