0000000001,0000000000,078207,021259,081274,027516,035030,084002
0000000002,0000001000,056860,048440,080689,037270,025748,083530
0000000003,0000002000,030477,071719,081001,048106,018752,079689
0000000004,0000003000,001895,088525,082177,058985,014708,072855
0000000005,0000004000,-26067,097166,084111,068829,014029,063688
0000000006,0000005000,-50942,097062,086607,076681,016778,053089
0000000007,0000006000,-70098,088159,089414,081770,022670,042107
0000000008,0000007000,-81563,071105,092266,083588,031151,031809
0000000009,0000008000,-84459,047766,094889,081969,041386,023192
0000000010,0000009000,-78468,020521,097016,077077,052358,017113
0000000011,0000010000,-63943,-08224,098437,069383,062995,014169
0000000012,0000011000,-42418,-35584,099022,059623,072283,014641
0000000013,0000012000,-16243,-58651,098710,048773,079293,018482
0000000014,0000013000,012275,-75402,097533,037912,083319,025316
0000000015,0000014000,040450,-84255,095601,028066,083999,034483
0000000016,0000015000,065240,-84079,093104,020205,081261,045081
0000000017,0000016000,084296,-75054,090296,015124,075360,056063
0000000018,0000017000,095911,-58155,087444,013304,066881,066362
0000000019,0000018000,098777,-34794,084822,014919,056649,074979
0000000020,0000019000,092642,-07398,082696,019816,045674,081057
0000000021,0000020000,078270,021202,081273,027516,035031,084001
0000000022,0000021000,056817,048492,080689,037265,025753,083530
0000000023,0000022000,030422,071769,081001,048112,018746,079689
0000000024,0000023000,001956,088476,082178,058989,014704,072855
0000000025,0000024000,-26040,097142,084110,068828,014032,063688
0000000026,0000025000,-50969,097107,086607,076681,016777,053089
0000000027,0000026000,-70105,088166,089414,081771,022669,042108
0000000028,0000027000,-81560,071097,092267,083591,031147,031809
0000000029,0000028000,-84468,047775,094889,081972,041384,023192
0000000030,0000029000,-78446,020498,097015,077078,052357,017112
0000000031,0000030000,-63933,-08234,098437,069382,062995,014169
0000000032,0000031000,-42478,-35540,099022,059624,072282,014641
0000000033,0000032000,-16242,-58655,098710,048780,079286,018480
0000000034,0000033000,012332,-75461,097533,037914,083319,025315
0000000035,0000034000,040435,-84239,095601,028064,084002,034482
0000000036,0000035000,065194,-84032,093104,020209,081259,045080
0000000037,0000036000,084318,-75080,090297,015129,075357,056061
0000000038,0000037000,095940,-58178,087445,013307,066881,066360
0000000039,0000038000,098760,-34774,084822,014919,056651,074977
0000000040,0000039000,092651,-07399,082696,019817,045674,081056
0000000041,0000040000,078272,021195,081273,027516,035031,084000
0000000042,0000041000,056796,048512,080689,037267,025753,083528
0000000043,0000042000,030444,071752,081000,048115,018745,079688
0000000044,0000043000,001984,088449,082177,058986,014707,072854
0000000045,0000044000,-26077,097180,084110,068826,014033,063688
0000000046,0000045000,-50992,097125,086607,076684,016774,053089
0000000047,0000046000,-70060,088126,089414,081772,022667,042108
0000000048,0000047000,-81558,071096,092266,083589,031149,031810
0000000049,0000048000,-84505,047815,094889,081972,041383,023193
0000000050,0000049000,-78440,020491,097015,077081,052353,017114
0000000051,0000050000,-63922,-08249,098438,069383,062994,014170
0000000052,0000051000,-42494,-35521,099022,059626,072280,014641
0000000053,0000052000,-16236,-58662,098710,048783,079283,018481
0000000054,0000053000,012339,-75471,097534,037915,083318,025315
0000000055,0000054000,040404,-84217,095601,028068,083999,034480
0000000056,0000055000,065200,-84040,093104,020214,081255,045078
0000000057,0000056000,084353,-75117,090297,015131,075358,056059
0000000058,0000057000,095921,-58164,087445,013307,066883,066357
0000000059,0000058000,098736,-34751,084822,014923,056650,074974
0000000060,0000059000,092682,-07432,082695,019820,045673,081053
0000000061,0000060000,078289,021181,081273,027515,035035,083997
0000000062,0000061000,056777,048536,080689,037266,025756,083526
0000000063,0000062000,030456,071747,081000,048115,018746,079687
0000000064,0000063000,001998,088438,082177,058984,014709,072854
0000000065,0000064000,-26091,097199,084110,068825,014034,063688
0000000066,0000065000,-50982,097125,086606,076682,016774,053090
0000000067,0000066000,-70045,088115,089413,081769,022668,042111
0000000068,0000067000,-81585,071125,092266,083587,031148,031813
0000000069,0000068000,-84517,047828,094889,081973,041379,023196
0000000070,0000069000,-78414,020466,097015,077081,052349,017117
0000000071,0000070000,-63935,-08240,098438,069382,062992,014173
0000000072,0000071000,-42527,-35493,099023,059629,072275,014643
0000000073,0000072000,-16226,-58678,098711,048788,079278,018482
0000000074,0000073000,012345,-75486,097534,037918,083315,025314
0000000075,0000074000,040383,-84202,095602,028073,083996,034479
0000000076,0000075000,065204,-84050,093105,020219,081252,045076
0000000077,0000076000,084365,-75136,090297,015135,075357,056056
0000000078,0000077000,095907,-58156,087445,013311,066883,066353
0000000079,0000078000,098746,-34760,084822,014927,056651,074969
0000000080,0000079000,092711,-07459,082695,019822,045677,081049
0000000081,0000080000,078281,021191,081273,027515,035040,083993
0000000082,0000081000,056771,048548,080688,037266,025759,083523
0000000083,0000082000,030487,071723,080999,048113,018750,079685
0000000084,0000083000,002007,088438,082176,058979,014715,072853
0000000085,0000084000,-26108,097227,084109,068820,014038,063689
0000000086,0000085000,-50971,097124,086605,076678,016776,053093
0000000087,0000086000,-70036,088112,089413,081764,022669,042115
0000000088,0000087000,-81606,071151,092266,083582,031147,031818
0000000089,0000088000,-84521,047837,094889,081971,041376,023202
0000000090,0000089000,-78411,020461,097015,077080,052345,017123
0000000091,0000090000,-63962,-08218,098438,069383,062986,014178
0000000092,0000091000,-42542,-35485,099023,059633,072267,014647
0000000093,0000092000,-16215,-58698,098712,048792,079271,018484
0000000094,0000093000,012329,-75483,097536,037923,083310,025315
0000000095,0000094000,040361,-84192,095603,028081,083990,034477
0000000096,0000095000,065219,-84076,093106,020228,081248,045072
0000000097,0000096000,084374,-75156,090298,015141,075356,056050
0000000098,0000097000,095897,-58151,087446,013318,066884,066346
0000000099,0000098000,098761,-34778,084822,014933,056653,074961
0000000100,0000099000,092734,-07482,082695,019824,045683,081041
0000000101,0000100000,078282,021195,081273,027515,035047,083986
0000000102,0000101000,056786,048544,080687,037265,025766,083517
0000000103,0000102000,030515,071708,080998,048108,018758,079681
0000000104,0000103000,002005,088453,082175,058972,014723,072853
0000000105,0000104000,-26110,097245,084107,068813,014043,063691
0000000106,0000105000,-50952,097119,086604,076670,016779,053098
0000000107,0000106000,-70041,088128,089412,081754,022672,042121
0000000108,0000107000,-81630,071184,092265,083576,031146,031826
0000000109,0000108000,-84523,047843,094888,081966,041371,023211
0000000110,0000109000,-78419,020466,097016,077077,052339,017132
0000000111,0000110000,-63993,-08194,098439,069383,062978,014186
0000000112,0000111000,-42556,-35480,099024,059637,072256,014653
0000000113,0000112000,-16220,-58710,098714,048798,079261,018488
0000000114,0000113000,012305,-75478,097538,037932,083301,025315
0000000115,0000114000,040351,-84199,095605,028092,083982,034475
0000000116,0000115000,065232,-84106,093108,020239,081243,045067
0000000117,0000116000,084371,-75168,090300,015151,075355,056042
0000000118,0000117000,095895,-58160,087447,013327,066885,066335
0000000119,0000118000,098790,-34810,084823,014940,056657,074950
0000000120,0000119000,092756,-07503,082695,019827,045691,081030
0000000121,0000120000,078288,021198,081272,027515,035057,083976
0000000122,0000121000,056813,048532,080686,037262,025776,083509
0000000123,0000122000,030542,071699,080996,048101,018770,079677
0000000124,0000123000,002008,088471,082172,058962,014734,072851
0000000125,0000124000,-26100,097259,084105,068802,014051,063694
0000000126,0000125000,-50938,097126,086602,076658,016785,053104
0000000127,0000126000,-70055,088158,089410,081742,022675,042131
0000000128,0000127000,-81647,071214,092263,083567,031143,031838
0000000129,0000128000,-84527,047853,094888,081959,041365,023224
0000000130,0000129000,-78444,020487,097016,077072,052331,017145
0000000131,0000130000,-64030,-08167,098440,069384,062965,014198
0000000132,0000131000,-42571,-35482,099026,059643,072242,014663
0000000133,0000132000,-16237,-58716,098716,048806,079248,018493
0000000134,0000133000,012275,-75474,097540,037944,083288,025316
0000000135,0000134000,040343,-84216,095607,028107,083970,034471
0000000136,0000135000,065238,-84137,093110,020253,081236,045059
0000000137,0000136000,084367,-75186,090302,015165,075352,056030
0000000138,0000137000,095907,-58184,087448,013340,066886,066321
0000000139,0000138000,098822,-34848,084823,014949,056664,074935
0000000140,0000139000,092776,-07521,082695,019831,045702,081014
0000000141,0000140000,078310,021189,081270,027515,035071,083962
0000000142,0000141000,056853,048512,080684,037257,025792,083499
0000000143,0000142000,030569,071697,080994,048090,018787,079670
0000000144,0000143000,002017,088493,082169,058948,014749,072850
0000000145,0000144000,-26082,097272,084102,068787,014063,063698
0000000146,0000145000,-50929,097144,086599,076640,016794,053113
0000000147,0000146000,-70072,088198,089408,081726,022678,042144
0000000148,0000147000,-81663,071247,092262,083553,031140,031854
0000000149,0000148000,-84543,047874,094887,081949,041357,023242
0000000150,0000149000,-78482,020520,097016,077067,052319,017162
0000000151,0000150000,-64067,-08142,098441,069385,062949,014213
0000000152,0000151000,-42594,-35481,099028,059649,072223,014675
0000000153,0000152000,-16269,-58715,098719,048817,079229,018501
0000000154,0000153000,012244,-75476,097544,037960,083270,025318
0000000155,0000154000,040337,-84245,095611,028126,083956,034467
0000000156,0000155000,065238,-84170,093113,020273,081227,045049
0000000157,0000156000,084366,-75211,090305,015184,075348,056015
0000000158,0000157000,095929,-58224,087450,013357,066888,066302
0000000159,0000158000,098857,-34891,084824,014960,056672,074914
0000000160,0000159000,092803,-07544,082695,019837,045717,080994
0000000161,0000160000,078347,021169,081269,027516,035088,083944
0000000162,0000161000,056899,048491,080681,037250,025813,083485
0000000163,0000162000,030597,071702,080990,048077,018809,079662
0000000164,0000163000,002038,088511,082165,058931,014768,072848
0000000165,0000164000,-26057,097287,084098,068766,014078,063703
0000000166,0000165000,-50925,097176,086596,076617,016805,053124
0000000167,0000166000,-70090,088247,089405,081705,022682,042161
0000000168,0000167000,-81678,071284,092260,083536,031137,031875
0000000169,0000168000,-84570,047909,094886,081935,041348,023265
0000000170,0000169000,-78529,020563,097017,077060,052303,017185
0000000171,0000170000,-64109,-08117,098443,069386,062928,014233
0000000172,0000171000,-42630,-35476,099031,059657,072200,014690
0000000173,0000172000,-16314,-58710,098723,048832,079206,018510
0000000174,0000173000,012211,-75487,097548,037981,083247,025320
0000000175,0000174000,040327,-84280,095615,028149,083937,034461
0000000176,0000175000,065231,-84206,093118,020297,081215,045036
0000000177,0000176000,084370,-75249,090308,015208,075343,055996
0000000178,0000177000,095960,-58277,087452,013378,066890,066279
0000000179,0000178000,098894,-34939,084825,014975,056684,074889
0000000180,0000179000,092840,-07574,082694,019845,045734,080969
0000000181,0000180000,078399,021138,081267,027515,035111,083921
0000000182,0000181000,056953,048470,080678,037241,025839,083467
0000000183,0000182000,030634,071709,080986,048061,018836,079651
0000000184,0000183000,002071,088529,082160,058909,014793,072846
0000000185,0000184000,-26029,097311,084092,068740,014098,063709
0000000186,0000185000,-50925,097222,086591,076589,016819,053139
0000000187,0000186000,-70105,088301,089401,081678,022687,042182
0000000188,0000187000,-81698,071330,092257,083513,031133,031902
0000000189,0000188000,-84611,047959,094885,081919,041336,023294
0000000190,0000189000,-78585,020613,097018,077052,052283,017213
0000000191,0000190000,-64159,-08089,098445,069387,062901,014259
0000000192,0000191000,-42681,-35463,099035,059666,072171,014710
0000000193,0000192000,-16368,-58704,098728,048850,079176,018522
0000000194,0000193000,012175,-75506,097553,038006,083219,025322
0000000195,0000194000,040309,-84320,095621,028179,083915,034454
0000000196,0000195000,065220,-84249,093123,020328,081200,045019
0000000197,0000196000,084381,-75302,090312,015238,075337,055972
0000000198,0000197000,095996,-58343,087455,013403,066895,066249
0000000199,0000198000,098936,-34994,084826,014993,056698,074857
0000000200,0000199000,092891,-07618,082693,019854,045756,080937
0000000201,0000200000,078465,021097,081264,027515,035140,083893
