0000000001,0000000000,090464,085645,076142,034776,032257,085725
0000000002,0000001000,088330,088362,075557,044529,022978,085252
0000000003,0000002000,085689,090693,075869,055367,015981,081409
0000000004,0000003000,082832,092372,077045,066248,011937,074574
0000000005,0000004000,080039,093233,078979,076089,011264,065404
0000000006,0000005000,077552,093224,081475,083939,014014,054805
0000000007,0000006000,075630,092339,084282,089023,019911,043824
0000000008,0000007000,074487,090630,087135,090848,028384,033526
0000000009,0000008000,074200,088293,089757,089222,038627,024910
0000000010,0000009000,074799,085569,091882,084325,049600,018832
0000000011,0000010000,076246,082700,093305,076631,060236,015892
0000000012,0000011000,078400,079961,093890,066872,069521,016365
0000000013,0000012000,081021,077654,093578,056024,076527,020207
0000000014,0000013000,083873,075977,092400,045157,080558,027043
0000000015,0000014000,086686,075096,090469,035314,081232,036212
0000000016,0000015000,089166,075113,087971,027455,078492,046811
0000000017,0000016000,091073,076013,085164,022377,072588,057792
0000000018,0000017000,092235,077703,082312,020558,064109,068090
0000000019,0000018000,092520,080041,079690,022174,053877,076706
0000000020,0000019000,091908,082780,077564,027073,042901,082783
0000000021,0000020000,090470,085639,076141,034775,032258,085725
0000000022,0000021000,088324,088370,075558,044526,022981,085251
0000000023,0000022000,085686,090695,075869,055376,015974,081409
0000000024,0000023000,082841,092364,077045,066247,011938,074573
0000000025,0000024000,080037,093236,078978,076087,011266,065405
0000000026,0000025000,077544,093231,081475,083941,014012,054805
0000000027,0000026000,075636,092333,084282,089030,019905,043823
0000000028,0000027000,074489,090628,087134,090844,028389,033526
0000000029,0000028000,074193,088300,089757,089224,038625,024910
0000000030,0000029000,074799,085569,091883,084331,049595,018832
0000000031,0000030000,076253,082693,093305,076632,060235,015891
0000000032,0000031000,078395,079967,093889,066870,069522,016364
0000000033,0000032000,081018,077655,093578,056029,076523,020207
0000000034,0000033000,083878,075972,092401,045161,080554,027042
0000000035,0000034000,086686,075096,090469,035313,081235,036211
0000000036,0000035000,089161,075118,087971,027459,078490,046810
0000000037,0000036000,091077,076010,085164,022381,072586,057791
0000000038,0000037000,092237,077701,082312,020559,064110,068089
0000000039,0000038000,092517,080044,079690,022175,053878,076705
